MESANO,DESCRIÇÃO,PREÇO UNIT,QUANTIDADE
2018-08-01,CILINDRO BROTHER DR520,"52,60","1,00"
2018-08-01,VIDRO TEMPERADO 8MM COLOCADO,"120,00","2,16"
2018-08-01,"PERFIL ""PU"" PRETO DE ALUMINIO","6,00","12,00"
2018-08-01,ESPELHO,"130,00","0,80"
2018-08-01,BOTAO DE FIXACAO DE ESPELHO,"3,50","6,00"
2018-08-01,GASOLINA COMUM OU ADITIVADA,"4,43","3.208,43"
2018-08-01,DIESEL S-10 COMUM,"3,34","942,13"
2018-08-01,GASOLINA COMUM OU ADITIVADA,"4,43","98,56"
2018-08-01,CARGA OXIGENIO 10M3,"195,00","3,00"
2018-08-01,CLOMIPRAMINA 25 MG .,"0,64","1.200,00"
2018-08-01,LEVODOPA  + BENSERAZIDA 200/50,"1,75","600,00"
2018-08-01,PROPATILNITRATO 10 MG .,"0,36","6.000,00"
2018-08-01,QUETIAPINA 100 MG .,"0,47","3.600,00"
2018-08-01,SINVASTATINA 10 MG .,"0,05","1.800,00"
2018-08-01,ENOXPARINA SODICA 40MG,"27,00","30,00"
2018-08-01,METOPROLOL SUCCINATO 100 MG .,"1,18","1.800,00"
2018-08-01,AMINOFILINA 100MG,"0,09","3.000,00"
2018-08-01,"ETINILESTRADIOL 0,30 MG +","0,05","1.050,00"
2018-08-01,NISTATINA 25.000 UI CREME.,"3,60","100,00"
2018-08-01,ACICLOVIR 50MG/G CREME 10G,"3,00","50,00"
2018-08-01,AMBROXOL 30MG/5ML XAROPE 100,"1,64","100,00"
2018-08-01,AMOXICILINA 250MG/5ML 60 ML,"3,88","100,00"
2018-08-01,ANLODIPINA 10 MG,"0,05","1.800,00"
2018-08-01,ATENOLOL 50 MG .,"0,03","6.000,00"
2018-08-01,BROMOPRIDA 10 MG .,"0,16","2.400,00"
2018-08-01,ATENOLOL 100 MG .,"0,05","600,00"
2018-08-01,CETOCONAZOL + BETAMETASONA +,"6,68","80,00"
2018-08-01,CETOCONAZOL 200 MG .,"0,13","450,00"
2018-08-01,CILOSTAZOL 100 MG .,"0,49","900,00"
2018-08-01,CILOSTAZOL 50 MG .,"0,31","1.500,00"
2018-08-01,CLONAZEPAM 2 MG .,"0,05","8.640,00"
2018-08-01,"CLONAZEPAM 0,5 MG .","0,06","4.500,00"
2018-08-01,CLOPIDOGREL 75 MG .,"0,33","6.000,00"
2018-08-01,CLORPROMAZINA 25 MG .,"0,21","1.000,00"
2018-08-01,DIAZEPAM 10 MG .,"0,08","3.000,00"
2018-08-01,DICLOFENACO POTASSICO 50 MG .,"0,06","600,00"
2018-08-01,DIMETICONA 75MG/ML,"0,77","200,00"
2018-08-01,DIOSMINA + HESPERIDINA 450MG/,"0,34","18.000,00"
2018-08-01,DIPIRONA 500 MG.,"0,07","3.000,00"
2018-08-01,DOMPERIDONA 10 MG .,"0,06","9.000,00"
2018-08-01,FLUNARIZINA 10 MG .,"0,08","1.000,00"
2018-08-01,GINKGO BILOBA 80 MG.,"0,16","1.500,00"
2018-08-01,HALOPERIDOL 1 MG .,"0,11","400,00"
2018-08-01,HALOPERIDOL 2MG/ML GOTAS 20ML,"2,33","10,00"
2018-08-01,BUTILBROMETO DE ESCOPALAMINA +,"0,37","1.200,00"
2018-08-01,IMIPRAMINA 25 MG .,"0,27","400,00"
2018-08-01,LAMOTRIGINA 100 MG .,"0,27","4.500,00"
2018-08-01,LAMOTRIGINA 50 MG .,"0,19","6.000,00"
2018-08-01,LORAZEPAM 2 MG .,"0,07","3.000,00"
2018-08-01,METFORMINA 500 MG .,"0,06","4.800,00"
2018-08-01,PARACETAMOL + CARISOPRODOL +,"0,13","1.200,00"
2018-08-01,QUETIAPINA 25 MG .,"0,18","5.600,00"
2018-08-01,SACCHAROMYCES BOULARDII 100 MG,"0,45","1.200,00"
2018-08-01,VERAPAMIL 80 MG .,"0,08","1.600,00"
2018-08-01,RECEITUARIO MEDICO,"2,39","300,00"
2018-08-01,000518426670 FAROL DIR COMPL,"93,55","1,00"
2018-08-01,001002043310 PARA-CHOQUE DIA,"210,80","1,00"
2018-08-01,000519182150 PARA-BRISA COM,"112,21","1,00"
2018-08-01,LEITE ESPECIAL 4,"19,50","48,00"
2018-08-01,LEITE DE SOJA.,"6,34","24,00"
2018-08-01,FECHADURA INOX BANHEIRO,"25,50","1,00"
2018-08-01,FECHADURA INOX INTERNA,"25,40","1,00"
2018-08-01,SELADOR ACRILICO P/ PAREDE COR,"44,50","2,00"
2018-08-01,CAFE EM PO.,"7,85","80,00"
2018-08-01,SUCO DE FRUTAS NATURAL 1L,"4,70","24,00"
2018-08-01,MUSSARELA FATIADA.,"22,00","3,00"
2018-08-01,LEITE EMBALAGEM LONGA VIDA.,"3,89","5,00"
2018-08-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","3,00"
2018-08-01,MORTADELA DE 1a QUALIDADE,"14,90","3,00"
2018-08-01,MAMAO QUALIDADE FORMOSA.,"3,34","5,00"
2018-08-01,PAO FRANCES.,"9,00","3,00"
2018-08-01,ROSCA TIPO RAINHA..,"6,80","2,00"
2018-08-01,PAO TIPO INTEGRAL.,"4,98","2,00"
2018-08-01,CARGA OXIGENIO 10M3,"195,00","2,00"
2018-08-01,CARGA OXIGENIO 01M3,"75,00","1,00"
2018-08-01,"ALPRAZOLAM 0,5 MG","0,10","1.800,00"
2018-08-01,BETAMETASONA+CETONAZOL CREME,"5,75","50,00"
2018-08-01,CLORTALIDONA 50 .,"0,21","2.790,00"
2018-08-01,DOMPERIDONA 1MG/ML SUSPENSAO,"8,19","100,00"
2018-08-01,BUTILBROMETO DE ESCOPOLAMINA10,"0,41","2.000,00"
2018-08-01,LOSARTAM 100 MG .,"0,25","3.000,00"
2018-08-01,METILDOPA 250 MG .,"0,25","1.500,00"
2018-08-01,METILDOPA 500 MG .,"0,52","1.500,00"
2018-08-01,NEOMICINA + BACITRACINA POMADA,"6,05","80,00"
2018-08-01,OMEPRAZOL 20 MG .,"0,06","5.992,00"
2018-08-01,GABAPENTINA 300 MG .,"0,45","600,00"
2018-08-01,ACUCAR CRISTAL PT,"8,45","36,00"
2018-08-01,CANETA ADRENALINA INJETAVEL,"702,00","1,00"
2018-08-01,PAO FRANCES.,"9,00","4,00"
2018-08-01,SUCO DE FRUTAS NATURAL 1L,"4,70","10,00"
2018-08-01,MUSSARELA FATIADA.,"22,00","1,00"
2018-08-01,LEITE EMBALAGEM LONGA VIDA.,"3,89","4,00"
2018-08-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","1,00"
2018-08-01,MORTADELA DE 1a QUALIDADE,"14,90","1,00"
2018-08-01,LEITE ESPECIAL 17,"19,50","24,00"
2018-08-01,LEITE ESPECIAL 19,"16,50","12,00"
2018-08-01,SUCO DE FRUTAS NATURAL 1L,"4,70","15,00"
2018-08-01,PAO TIPO INTEGRAL.,"4,98","6,00"
2018-09-01,MALEATO DE INDACATEROL+BROMETO,"265,00","10,00"
2018-09-01,FUROATO DE MOMETASONA 400MCG.,"78,70","10,00"
2018-09-01,DIVALPROATO DE SODIO 500MG ER,"2,30","600,00"
2018-09-01,METOPROLOL SUCCINATO 50 MG .,"0,78","780,00"
2018-09-01,ETEXILATO DE DABIGATRANA.110MG,"3,95","180,00"
2018-09-01,ETEXILATO DE DABIGATRANA 150MG,"3,95","360,00"
2018-09-01,CARGA OXIGENIO 10M3,"195,00","2,00"
2018-09-01,SACO DE LIXO BRANCO LEITOSO 50,"27,33","4,00"
2018-09-01,GASOLINA COMUM OU ADITIVADA,"4,43","3.518,77"
2018-09-01,DIESEL S-10 COMUM,"3,34","940,56"
2018-09-01,GASOLINA COMUM OU ADITIVADA,"4,43","159,64"
2018-09-01,LEITE ESPECIAL 4,"19,50","48,00"
2018-09-01,LEITE ESPECIAL 8,"48,00","12,00"
2018-09-01,TIRAS REAGENTES,"0,40","7.500,00"
2018-09-01,REFRIGERANTE PET COM 02 LTS,"3,00","60,00"
2018-09-01,PNEU 175/70 R14.,"388,00","4,00"
2018-09-01,PNEU 175/70 R13.,"250,00","4,00"
2018-09-01,TUBO SOLD. PVC 20MM,"9,42","1,00"
2018-09-01,SILICONE NEUTRO PARA PEDRA E,"14,95","2,00"
2018-09-01,GASOLINA COMUM OU ADITIVADA,"4,43","732,10"
2018-09-01,COPIA DE CHAVE,"7,50","4,00"
2018-09-01,ZUCLOPENTIXOL INJETAVEL 200MG,"69,50","10,00"
2018-09-01,SACO PARA LIXO 50LT.,"24,92","1,00"
2018-09-01,SACO PARA LIXO 30LT.,"11,20","1,00"
2018-09-01,SACO PARA LIXO 50LT.,"24,92","1,00"
2018-09-01,OLEO SINTETICO SAE 5W40 1LT.,"22,70","7,00"
2018-09-01,GASOLINA COMUM OU ADITIVADA,"4,54","35,08"
2018-09-01,GASOLINA COMUM OU ADITIVADA,"4,54","649,11"
2018-09-01,DIESEL S-10 COMUM,"3,34","347,54"
2018-09-01,DIESEL S-10 COMUM,"3,34","234,59"
2018-09-01,PLACA PARA UMERO,"1.450,00","1,00"
2018-09-01,"BROMETO DE IPATROPIO 0,250MG/M","0,80","100,00"
2018-09-01,DIPIRONA SODICA 500MG/2ML INJE,"0,35","600,00"
2018-09-01,HIDROCORTISONA 500MG INJETAVEL,"4,50","200,00"
2018-09-01,BROMIDRATO DE FENOTEROL 5MG/ML,"2,78","100,00"
2018-09-01,DIPROPIONATO DE BETAMETASONA E,"2,45","150,00"
2018-09-01,SCALP 23G,"0,15","400,00"
2018-09-01,LUVAS PROCEDIMENTO M.,"13,55","100,00"
2018-09-01,SERINGA DESCARTAVEL 1ML C.AGUL,"15,80","30,00"
2018-09-01,PAPEL LENCOL 70CM X 50 MTS GR.,"5,30","100,00"
2018-09-01,TESOURA CIRURGICA SPENCER,"26,00","2,00"
2018-09-01,TESOURA IRIS,"16,18","2,00"
2018-09-01,COMPRESSA DE GAZE ESTERIL,"0,37","1.000,00"
2018-09-01,AGULHA DESC. 25 X 7  (CX),"5,10","100,00"
2018-09-01,EXTRATO DE TOMATE.,"25,49","1,00"
2018-09-01,GELATINA EM PO.,"0,88","50,00"
2018-09-01,XAROPE DE GROSELHA,"6,48","10,00"
2018-09-01,LEITE ESPECIAL 14,"39,90","12,00"
2018-09-01,LEITE ESPECIAL 15,"43,00","12,00"
2018-09-01,SUCO DE FRUTAS NATURAL 1L,"4,70","10,00"
2018-09-01,MUSSARELA FATIADA.,"22,00","2,00"
2018-09-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","2,00"
2018-09-01,AGUA MINERAL S/ GAS 500 ML(FR),"0,99","30,00"
2018-09-01,BEBIDA DE FRUTA ADOCADA,"3,70","16,00"
2018-09-01,COMPRESSA DE GAZE NAO ESTERIL,"10,85","100,00"
2018-09-01,LEITE ESPECIAL 6,"26,50","24,00"
2018-09-01,MOUSE USB COM FIO,"26,00","4,00"
2018-09-01,TECLADO USB COM FIO,"35,00","4,00"
2018-10-01,CLIPS PARA RADIOGRAFIA COM 12,"43,50","1,00"
2018-10-01,PAPEL GRAU CIRURGICO 20X33CM,"42,20","10,00"
2018-10-01,FIXADOR PARA RAIO-X ODONTOLOGI,"11,80","8,00"
2018-10-01,ACIDO FOSFORICO A 37% EM GEL,"1,16","15,00"
2018-10-01,ESCOVA DENTAL MACIA CABEDA PEQ,"0,58","400,00"
2018-10-01,AVENTAL DE CHUMBO P/RAIO X INF,"268,95","1,00"
2018-10-01,AVENTAL DE CHUMBO P/RAIO X ADU,"350,84","1,00"
2018-10-01,REVELADOR P/ RAIO-X ODONTOLOGI,"18,74","8,00"
2018-10-01,CIMENTO RESTAURADOR PROVISORIO,"57,56","2,00"
2018-10-01,ADESIVO FOTOPOLIMERIZAVEL.,"10,94","20,00"
2018-10-01,FILME RADIOGRAFICO ODONTOLOGIC,"114,09","1,00"
2018-10-01,PAPEL GRAU CIRURGICO 9X23,"15,07","10,00"
2018-10-01,PROTETOR DE TIREOIDE P/RAIO X,"97,39","1,00"
2018-10-01,PROTETOR DE TIREOIDE P/RAIO X.,"97,39","1,00"
2018-10-01,ESCOVA DENTAL MACIA CABECA MED,"0,63","500,00"
2018-10-01,GASOLINA COMUM OU ADITIVADA,"4,65","1.799,62"
2018-10-01,DIESEL S-10 COMUM,"3,55","659,13"
2018-10-01,GASOLINA COMUM OU ADITIVADA,"4,65","57,63"
2018-10-01,PAO FRANCES.,"9,00","25,00"
2018-10-01,GAS ENGARRAFADO 13 KG,"65,50","4,00"
2018-10-01,CARGA OXIGENIO 01M3,"75,00","5,00"
2018-10-01,TUBO PVC 50MM ESGOTO,"27,40","2,00"
2018-10-01,TUBO SOLD. PVC 20MM,"9,42","9,00"
2018-10-01,MASSA CORRIDA - 18 LT.,"39,00","2,00"
2018-10-01,TINTA BETUMINOSA P/ CONCRETO E,"51,95","1,00"
2018-10-01,SILICONE NEUTRO PARA PEDRA E,"14,95","1,00"
2018-10-01,JOELHO 90o 40MM P/ ESGOTO,"0,60","4,00"
2018-10-01,JOELHO 45o 40MM P/ ESGOTO,"1,11","2,00"
2018-10-01,"CIMENTO CP-II E 32, SACO 50KG","21,50","6,00"
2018-10-01,SOLVENTE P/ TINTA 900ML,"8,90","4,00"
2018-10-01,BRITA 01,"97,40","0,50"
2018-10-01,GASOLINA COMUM OU ADITIVADA,"4,65","988,34"
2018-10-01,DIESEL S-10 COMUM,"3,55","301,46"
2018-10-01,GASOLINA COMUM OU ADITIVADA,"4,65","38,96"
2018-10-01,CAFE EM PO.,"7,85","60,00"
2018-10-01,LEITE ESPECIAL 4,"19,50","24,00"
2018-10-01,COLETOR DE URINA SISTEMA FECHA,"2,05","30,00"
2018-10-01,ALCOOL 70%,"3,60","60,00"
2018-10-01,AGULHA DESC. 40 X 12,"6,42","20,00"
2018-10-01,MICROPORE 25MM X 10MTS,"1,35","100,00"
2018-10-01,ATADURA DE CREPE 12CM 13FIOS,"4,21","100,00"
2018-10-01,LUVA PRODECIMENTOS P.,"13,55","50,00"
2018-10-01,LUVA PROCEDIMENTOS G.,"13,55","30,00"
2018-10-01,"SORO FISIOLOGICO 0,9% 100ML","2,00","200,00"
2018-10-01,"SORO FISIOLOGICO 0,9%, 250 ML","2,60","300,00"
2018-10-01,CARGA OXIGENIO 10M3,"195,00","3,00"
2018-10-01,ALCOOL ETILICO.,"4,35","36,00"
2018-10-01,LIMPADOR INSTANTANEO.,"1,60","24,00"
2018-10-01,DETERGENTE LIQUIDO 500ML,"1,31","24,00"
2018-10-01,LIMPA ALUMINIO FRASCO 500ML,"1,29","24,00"
2018-10-01,ESPONJA DE ACO PCT. 08UND,"1,08","10,00"
2018-10-01,PAPEL TOALHA INTERFOLHA,"40,55","4,00"
2018-10-01,SACO DE PANO ALVEJADO.,"2,79","20,00"
2018-10-01,ESCOVA SANITARIA,"3,80","5,00"
2018-10-01,VASOURA PIACAVA.,"9,10","3,00"
2018-10-01,SACO PARA LIXO 15 LITROS,"1,90","20,00"
2018-10-01,SACO PARA LIXO 30 LITROS.,"1,50","20,00"
2018-10-01,PANO DE PRATO 100% ALGODAO.,"1,90","20,00"
2018-10-01,ESPONJA LIMPEZA DUPLA FACE,"1,93","30,00"
2018-10-01,LEITE ESPECIAL 4,"19,50","24,00"
2018-10-01,PNEU  175/70 R13,"174,00","6,00"
2018-10-01,PNEU  175/70 R14,"249,00","3,00"
2018-10-01,SUCO DE FRUTAS NATURAL 1L,"4,70","16,00"
2018-10-01,PAO TIPO INTEGRAL.,"4,98","12,00"
2018-10-01,VIDRO CANELADO 3MM COLOCADO,"55,00","9,80"
2018-10-01,VIDRO TEMPERADO JATEADO 8MM,"209,00","2,00"
2018-11-01,LEITE ESPECIAL 21,"17,75","24,00"
2018-11-01,OLEO SAE 5W30,"30,00","5,00"
2018-11-01,VASOURA PIACAVA.,"9,10","4,00"
2018-11-01,SACO PARA LIXO 50 LITROS.,"2,69","10,00"
2018-11-01,GASOLINA COMUM OU ADITIVADA,"4,69","40,30"
2018-11-01,GASOLINA COMUM OU ADITIVADA,"4,69","2.210,72"
2018-11-01,DIESEL S-10 COMUM,"3,61","590,01"
2018-11-01,"CARVEDILOL 6,25 MG .","0,07","3.000,00"
2018-11-01,ALENDRONATO DE SODIO 70 MG,"0,20","720,00"
2018-11-01,FENOBARBITAL 100 MG .,"0,10","7.500,00"
2018-11-01,LEVOTIROXINA 50MCG .,"0,05","6.000,00"
2018-11-01,LEVOTIROXINA 100 MCG,"0,05","4.500,00"
2018-11-01,BENZILPENICILINA BENZATINA..,"6,89","100,00"
2018-11-01,CEFALEXINA 50 MG/ML,"6,01","50,00"
2018-11-01,SINVASTATINA 10 MG .,"0,04","3.600,00"
2018-11-01,"ISOSSORBIDA, DINITRATO 5MG","0,23","600,00"
2018-11-01,NORTRIPTILINA 25 MG .,"0,21","300,00"
2018-11-01,CLARITROMICINA 50MG/ML,"32,20","20,00"
2018-11-01,FENOBARBITAL 40MG/ML,"2,93","10,00"
2018-11-01,GLICLAZIDA 30MG,"0,16","9.000,00"
2018-11-01,VALPROATO DE SODIO 500MG,"0,25","3.000,00"
2018-11-01,AMOXICILINA + CLAVULANATO,"8,74","60,00"
2018-11-01,VALPROATO DE SODIO 250MG,"0,09","5.000,00"
2018-11-01,PARACETAMOL 500 MG .,"0,04","5.000,00"
2018-11-01,"CARVEDILOL 12,5 MG .","0,08","9.000,00"
2018-11-01,LEVODOPA  + BENSERAZIDA 200/50,"0,75","1.500,00"
2018-11-01,RANITIDINA 150MG/10ML XAROPE,"3,94","50,00"
2018-11-01,VARFARINA 5 MG .,"0,11","1.500,00"
2018-11-01,BECLOMETASONA 250MCG,"39,14","10,00"
2018-11-01,BECLOMETASONA 50MCG,"27,81","10,00"
2018-11-01,"CLOMIPRAMINA, CLORIDRATO 25MG","0,63","3.600,00"
2018-11-01,LEVODOPA+BENSERAZIDA 100+25MG,"0,90","900,00"
2018-11-01,ENALAPRIL 10 MG .,"0,03","3.000,00"
2018-11-01,GLIBENCLAMIDA 5 MG .,"0,02","3.000,00"
2018-11-01,HIDROCLOROTIAZIDA 25 MG .,"0,01","20.000,00"
2018-11-01,LORATADINA 10 MG .,"0,05","1.440,00"
2018-11-01,METOPROLOL SUCCINATO 100 MG .,"0,86","1.440,00"
2018-11-01,METOPROLOL SUCCINATO 25 MG .,"0,23","4.320,00"
2018-11-01,METOPROLOL SUCCINATO 50 MG .,"0,45","6.000,00"
2018-11-01,BIPERIDENO 2 MG .,"0,15","2.000,00"
2018-11-01,CLORPROMAZINA 40MG/ML SOLUCAO,"4,65","10,00"
2018-11-01,CLORPROMAZINA 25 MG .,"0,18","3.000,00"
2018-11-01,"HALOPERIDOL, DECANOATO 50MG/ML","3,49","25,00"
2018-11-01,AZITROMICINA 500 MG .,"0,44","600,00"
2018-11-01,CAPTOPRIL 25 MG .,"0,01","20.000,00"
2018-11-01,FUROSEMIDA 40 MG .,"0,03","12.000,00"
2018-11-01,"CLONAZEPAM 2,5MG/ML","1,74","100,00"
2018-11-01,ACIDO FOLICO 5MG.,"0,04","2.000,00"
2018-11-01,CLORETO DE SODIO 9MG/ML FRASCO,"2,65","400,00"
2018-11-01,"SALBUTAMOL,SULFATO 100MCG/DOSE","7,28","100,00"
2018-11-01,SULFATO FERROSO 25MG/ML,"0,84","200,00"
2018-11-01,LEVOTIROXINA 25 MCG .,"0,05","6.000,00"
2018-11-01,SULFAMETOXAZOL+TRIMETOPRIMA .,"2,11","50,00"
2018-11-01,ATENOLOL 100 MG .,"0,05","1.200,00"
2018-11-01,"DEXAMETASONA 0,1MG/ML ELIXIR","0,85","200,00"
2018-11-01,ERITROMICINA 250 MG/5ML,"4,01","50,00"
2018-11-01,METFORMINA 850 MG .,"0,05","14.400,00"
2018-11-01,PREDNISOLONA 1MG/ML SOLUCAO,"6,35","150,00"
2018-11-01,PREDNISOLONA 3MG/ML SOL ORAL,"2,95","150,00"
2018-11-01,PROPAFENONA 300 MG REVESTIDO,"0,36","1.200,00"
2018-11-01,ACICLOVIR SODICO 50MG,"2,10","100,00"
2018-11-01,AMOXICILINA 500MG,"0,15","3.360,00"
2018-11-01,LORATADINA 1MG/ML,"2,10","150,00"
2018-11-01,LOSARTANA POTASSICA 50MG,"0,03","33.600,00"
2018-11-01,NISTATINA 100.000 UI/ML,"3,35","50,00"
2018-11-01,METRONIDAZOL 100MG/G,"3,92","50,00"
2018-11-01,AMOXICILINA 50 MG/ML,"3,24","300,00"
2018-11-01,AZITROMICINA 40MG/ML (600 MG),"4,48","200,00"
2018-11-01,CIPROFLOXACINO CLORIDRATO,"0,18","600,00"
2018-11-01,ANLODIPINO BESILATO 5MG,"0,03","9.000,00"
2018-11-01,METILDOPA 250MG,"0,24","3.000,00"
2018-11-01,CARGA OXIGENIO 10M3,"195,00","2,00"
2018-11-01,SUCO DE FRUTAS NATURAL 1L,"4,70","6,00"
2018-11-01,MUSSARELA FATIADA.,"22,00","1,00"
2018-11-01,LEITE EMBALAGEM LONGA VIDA.,"2,89","4,00"
2018-11-01,PRESUNTO COZIDO MAGRO FATIADO,"20,00","1,00"
2018-11-01,ALOPURINOL 100 MG .,"0,04","3.000,00"
2018-11-01,"CARVEDILOL 3,125 MG .","0,07","3.000,00"
2018-11-01,CLORTALIDONA 25 .,"0,20","2.100,00"
2018-11-01,COMPLEXO B DRAGEAS .,"0,04","5.000,00"
2018-11-01,FLUOXETINA 20 MG .,"0,05","5.600,00"
2018-11-01,GLIMEPIRIDA 2 MG .,"0,09","2.700,00"
2018-11-01,MEBENDAZOL 20MG/ML SUSPENSAO,"1,08","50,00"
2018-11-01,NIMESULIDA 100 MG .,"0,08","3.000,00"
2018-11-01,SULFATO FERROSO 40 MG,"0,04","3.000,00"
2018-11-01,SAIS P/ REIDRATACAO ORAL,"0,47","300,00"
2018-11-01,CARBONATO DE CALCIO 500 MG,"0,05","9.000,00"
2018-11-01,"ALPRAZOLAM 0,5 MG","0,10","3.600,00"
2018-11-01,AMILORIDA + HIDROCLOROTIAZIDA,"0,12","1.800,00"
2018-11-01,CLORTALIDONA 50 .,"0,21","1.380,00"
2018-11-01,DOMPERIDONA 1MG/ML SUSPENSAO,"8,19","50,00"
2018-11-01,LOSARTAM 100 MG .,"0,25","3.000,00"
2018-11-01,METILDOPA 500 MG .,"0,52","1.500,00"
2018-11-01,OMEPRAZOL 20 MG .,"0,06","28.000,00"
2018-11-01,GABAPENTINA 300 MG .,"0,45","1.500,00"
2018-11-01,AMILORIDA/HIDROCLOROTIAZIDA,"0,16","3.000,00"
2018-11-01,ATENOLOL/CLORTALIDONA,"0,18","3.000,00"
2018-11-01,CEFTRIAXONA 500 MG IM,"8,40","200,00"
2018-11-01,DESOGESTREL 75 MCG CAIXA,"16,90","100,00"
2018-11-01,NORIPURUM 50MG/ML 30 ML,"29,50","30,00"
2018-11-01,ZUCLOPENTIXOL INJETAVEL 200MG,"69,50","20,00"
2018-11-01,RISPERIDONA 1 MG .,"0,12","3.000,00"
2018-11-01,RISPERIDONA 2 MG .,"0,12","6.000,00"
2018-11-01,ACIDO ACETILSALICILICO 100 MG,"0,02","25.000,00"
2018-11-01,ACEBROFILINA 25MG/5ML XAROPE,"2,77","50,00"
2018-11-01,SERTRALINA 50 MG .,"0,10","14.700,00"
2018-11-01,METILFENIDATO 10 MG .,"0,57","600,00"
2018-11-01,PROPATILNITRATO 10 MG .,"0,36","9.600,00"
2018-11-01,QUETIAPINA 100 MG .,"0,47","3.600,00"
2018-11-01,HIDRALAZINA 25 MG .,"0,25","4.000,00"
2018-11-01,HIDRALAZINA 50 MG .,"0,34","4.000,00"
2018-11-01,ACEBROFILINA 50MG/5ML XAROPE,"4,26","100,00"
2018-11-01,ALPRAZOLAM 1 MG,"0,10","5.400,00"
2018-11-01,AMBROXOL 15MG/5ML XAROPE 100,"1,56","50,00"
2018-11-01,AMIODARONA 200 MG .,"0,33","3.000,00"
2018-11-01,AMITRIPTILINA 25 MG .,"0,03","21.000,00"
2018-11-01,CEFALEXINA 500 MG .,"0,30","3.000,00"
2018-11-01,CETOCOANZOL CREME 30 G,"1,52","100,00"
2018-11-01,CIMETIDINA 200 MG .,"0,14","1.200,00"
2018-11-01,CLORPROMAZINA 100 MG .,"0,19","2.000,00"
2018-11-01,DICLOFENACO DE SODIO 50 MG.,"0,03","2.000,00"
2018-11-01,"DIGOXINA 0,25 MG .","0,04","1.000,00"
2018-11-01,DILTIAZEM 60 MG.,"0,12","5.000,00"
2018-11-01,DIMETICONA 40 MG .,"0,08","1.200,00"
2018-11-01,ENALAPRIL MALEATO 20 MG .,"0,04","5.000,00"
2018-11-01,ESPIRONOLACTONA 50 MG .,"0,25","2.000,00"
2018-11-01,GLIMEPIRIDA 4 MG.,"0,21","3.000,00"
2018-11-01,LEVOTIROXINA 75 MCG .,"0,17","3.000,00"
2018-11-01,PAROXETINA 20 MG .,"0,18","9.000,00"
2018-11-01,PREDNISONA 20 MG .,"0,17","3.000,00"
2018-11-01,PROPRANOLOL 40 MG .,"0,02","6.000,00"
2018-11-01,TOPIRAMATO 25 MG .,"0,17","3.360,00"
2018-11-01,VITAMINA A + D GOTAS .,"3,04","50,00"
2018-11-01,TOPIRAMATO 50MG,"0,18","6.720,00"
2018-11-01,ACIDO ASCORBICO 200MG/ML GOTAS,"1,38","50,00"
2018-11-01,CODEINA+PARACETEMOL 30MG/500MG,"0,32","960,00"
2018-11-01,IBUPROFENO 600MG,"0,12","6.000,00"
2018-11-01,CEFTRIAXONA 1 G IM,"9,04","400,00"
2018-11-01,FIBRINOLISINA+DESOXIRRIBONUCLE,"38,50","30,00"
2018-11-01,AMBROXOL 30MG/5ML XAROPE 100,"1,64","50,00"
2018-11-01,ATENOLOL 50 MG .,"0,03","6.000,00"
2018-11-01,BROMOPRIDA 10 MG .,"0,16","2.400,00"
2018-11-01,CILOSTAZOL 100 MG .,"0,49","900,00"
2018-11-01,CILOSTAZOL 50 MG .,"0,31","900,00"
2018-11-01,CLONAZEPAM 2 MG .,"0,05","17.280,00"
2018-11-01,"CLONAZEPAM 0,5 MG .","0,06","3.000,00"
2018-11-01,CLOPIDOGREL 75 MG .,"0,33","2.800,00"
2018-11-01,DIAZEPAM 10 MG .,"0,08","6.000,00"
2018-11-01,DICLOFENACO POTASSICO 50 MG .,"0,06","1.500,00"
2018-11-01,DIMETICONA 75MG/ML,"0,77","200,00"
2018-11-01,DIOSMINA + HESPERIDINA 450MG/,"0,34","18.000,00"
2018-11-01,DIPIRONA 500 MG.,"0,07","5.000,00"
2018-11-01,DOMPERIDONA 10 MG .,"0,06","9.000,00"
2018-11-01,LAMOTRIGINA 100 MG .,"0,27","4.500,00"
2018-11-01,LAMOTRIGINA 50 MG .,"0,19","6.000,00"
2018-11-01,MEBENDAZOL 100 MG .,"0,05","600,00"
2018-11-01,METFORMINA 500 MG .,"0,06","9.600,00"
2018-11-01,PARACETAMOL + CARISOPRODOL +,"0,13","6.000,00"
2018-11-01,QUETIAPINA 25 MG .,"0,18","3.598,00"
2018-11-01,RISPERIDONA 1 MG SOL ORAL,"10,30","100,00"
2018-11-01,PREDNISONA 5MG.,"0,07","3.000,00"
2018-11-01,IBUPROFENO GOTAS 50MG/ML,"1,08","200,00"
2018-11-01,GASOLINA COMUM OU ADITIVADA,"4,69","32,76"
2018-11-01,GASOLINA COMUM OU ADITIVADA,"4,69","826,69"
2018-11-01,DIESEL S-10 COMUM,"3,61","366,66"
2018-11-01,COPIA DE CHAVE,"7,50","3,00"
2018-11-01,SUCO DE FRUTAS NATURAL 1L,"4,70","10,00"
2018-11-01,MUSSARELA FATIADA.,"22,00","1,50"
2018-11-01,LEITE EMBALAGEM LONGA VIDA.,"2,89","6,00"
